MED-1	http://www.ncbi.nlm.nih.gov/pubmed/23092936	Birth Weight, Head Circumference, and Prenatal Exposure to Acrylamide from Maternal Diet: The European Prospective Mother–Child Study (NewGeneris)	Abstract Background: Acrylamide is a common dietary exposure that crosses the human placenta. It is classified as a probable human carcinogen, and developmental toxicity has been observed in rodents. Objectives: We examined the associations between prenatal exposure to acrylamide and birth outcomes in a prospective European mother–child study. Methods: Hemoglobin (Hb) adducts of acrylamide and its metabolite glycidamide were measured in cord blood (reflecting cumulated exposure in the last months of pregnancy) from 1,101 singleton pregnant women recruited in Denmark, England, Greece, Norway, and Spain during 2006–2010. Maternal diet was estimated through food-frequency questionnaires. Results: Both acrylamide and glycidamide Hb adducts were associated with a statistically significant reduction in birth weight and head circumference. The estimated difference in birth weight for infants in the highest versus lowest quartile of acrylamide Hb adduct levels after adjusting for gestational age and country was –132 g (95% CI: –207, –56); the corresponding difference for head circumference was –0.33 cm (95% CI: –0.61, –0.06). Findings were similar in infants of nonsmokers, were consistent across countries, and remained after adjustment for factors associated with reduced birth weight. Maternal consumption of foods rich in acrylamide, such as fried potatoes, was associated with cord blood acrylamide adduct levels and with reduced birth weight. Conclusions: Dietary exposure to acrylamide was associated with reduced birth weight and head circumference. Consumption of specific foods during pregnancy was associated with higher acrylamide exposure in utero. If confirmed, these findings suggest that dietary intake of acrylamide should be reduced among pregnant women.
MED-2	http://www.ncbi.nlm.nih.gov/pubmed/22809476	A statistical regression model for the estimation of acrylamide concentrations in French fries for excess lifetime cancer risk assessment. - PubMed - NCBI	Abstract Human exposure to acrylamide (AA) through consumption of French fries and other foods has been recognized as a potential health concern. Here, we used a statistical non-linear regression model, based on the two most influential factors, cooking temperature and time, to estimate AA concentrations in French fries. The R(2) of the predictive model is 0.83, suggesting the developed model was significant and valid. Based on French fry intake survey data conducted in this study and eight frying temperature-time schemes which can produce tasty and visually appealing French fries, the Monte Carlo simulation results showed that if AA concentration is higher than 168 ppb, the estimated cancer risk for adolescents aged 13-18 years in Taichung City would be already higher than the target excess lifetime cancer risk (ELCR), and that by taking into account this limited life span only. In order to reduce the cancer risk associated with AA intake, the AA levels in French fries might have to be reduced even further if the epidemiological observations are valid. Our mathematical model can serve as basis for further investigations on ELCR including different life stages and behavior and population groups. Copyright © 2012 Elsevier Ltd. All rights reserved.
MED-3	http://www.ncbi.nlm.nih.gov/pubmed/19158207	Chronic intake of potato chips in humans increases the production of reactive oxygen radicals by leukocytes and increases plasma C-reactive protein... - PubMed - NCBI	Abstract BACKGROUND: Relatively high concentrations of acrylamide in commonly ingested food products, such as French fries, potato chips, or cereals, may constitute a potential risk to human health. OBJECTIVE: The objective of this pilot study was to investigate the possible connection between chronic ingestion of acrylamide-containing potato chips and oxidative stress or inflammation. DESIGN: Fourteen healthy volunteers (mean age: 35 y; 8 women and 6 smokers of >20 cigarettes/d) were given 160 g of potato chips containing 157 microg [corrected] acrylamide daily for 4 wk. RESULTS: An increase in acrylamide-hemoglobin adducts in blood was found in all the study subjects, with a mean of 43.1 pmol x L(-1) x g(-1) hemoglobin (range: 27-76; P < 0.01) in nonsmokers and 59.0 pmol x L(-1) x g(-1) hemoglobin (range: 43-132; P < 0.05) in smokers. Concurrently, a significant increase (P < 0.01) in the oxidized LDL, high-sensitivity interleukin-6, high-sensitivity C-reactive protein, and gamma-glutamyltransferase concentrations was observed in both smokers and nonsmokers. A significant increase in reactive oxygen radical production by monocytes, lymphocytes, and granulocytes and an increase in CD14 expression in macrophages (P < 0.001) were found after intake of potato chips. Twenty-eight days from the discontinuation of the experiment, the variables under study decreased to some extent. It has been shown also that acrylamide increases the production of reactive oxygen species in isolated human monocyte-macrophages in vitro and decreases the cellular glutathione concentration. CONCLUSION: These novel findings seem to indicate that chronic ingestion of acrylamide-containing products induces a proinflammatory state, a risk factor for progression of atherosclerosis.
MED-4	http://www.ncbi.nlm.nih.gov/pubmed/23651876	Dietary patterns and breast cancer risk among women. - PubMed - NCBI	Abstract OBJECTIVE: Breast cancer is the most common type of cancer in women worldwide. Several studies have examined the role of single nutrients and food groups in breast cancer pathogenesis but fewer investigations have addressed the role of dietary patterns. Our main objective was to identify the relationship between major dietary patterns and breast cancer risk among Iranian women. DESIGN: Hospital-based case-control study. SETTING: Shohada Teaching Hospital, Tehran, Iran. SUBJECTS: Overall, 100 female patients aged 30-65 years with breast cancer and 174 female hospital controls were included in the present study. Dietary intake was assessed using a valid and reliable semi-quantitative FFQ consisting of 168 food items. RESULTS: Two dietary patterns were identified explaining 24·31 % of dietary variation in the study population. The 'healthy' food pattern was characterized by the consumption of vegetables, fruits, low-fat dairy products, legumes, olive and vegetable oils, fish, condiments, organ meat, poultry, pickles, soya and whole grains; while the 'unhealthy' food pattern was characterized by the consumption of soft drinks, sugars, tea and coffee, French fries and potato chips, salt, sweets and desserts, hydrogenated fats, nuts, industrial juice, refined grains, and red and processed meat. Compared with the lowest tertile, women in the highest tertile of the 'healthy' dietary pattern score had 75 % decreased risk of breast cancer (OR = 0·25, 95 % CI 0·08, 0·78), whereas women in the highest tertile of the 'unhealthy' dietary pattern had a significantly increased breast cancer risk (OR = 7·78, 95 % CI 2·31, 26·22). CONCLUSIONS: A healthy dietary pattern may be negatively associated with breast cancer risk, while an unhealthy dietary pattern is likely to increase the risk among Iranian women.
MED-5	http://www.ncbi.nlm.nih.gov/pubmed/16332665	Empirically derived dietary patterns and risk of postmenopausal breast cancer in a large prospective cohort study. - PubMed - NCBI	Abstract BACKGROUND: Inconsistent associations have been reported between diet and breast cancer. OBJECTIVE: We prospectively examined the association between dietary patterns and postmenopausal breast cancer risk in a US-wide cohort study. DESIGN: Data were analyzed from 40 559 women who completed a self-administered 61-item Block food-frequency questionnaire in the Breast Cancer Detection Demonstration Project, 1987-1998; 1868 of those women developed breast cancer. Dietary patterns were defined by using principal components factor analysis. Cox proportional hazard regression was used to assess breast cancer risk. RESULTS: Three major dietary patterns emerged: vegetable-fish/poultry-fruit, beef/pork-starch, and traditional southern. The vegetable-fish/poultry-fruit pattern was associated with higher education than were the other patterns, but was similar in nutrient intake to the traditional southern pattern. After adjustment for confounders, there was no significant association between the vegetable-fish/poultry-fruit and beef/pork-starch patterns and breast cancer. The traditional southern pattern, however, was associated with a nonsignificantly reduced breast cancer risk among all cases (in situ and invasive) that was significant for invasive breast cancer (relative hazard = 0.78; 95% CI = 0.65, 0.95; P for trend = 0.003). This diet was also associated with a reduced risk in women without a family history of breast cancer (P = 0.05), who were underweight or normal weight [body mass index (in kg/m(2)) < 25; P = 0.02], or who had tumors positive for estrogen receptor (P = 0.01) or progesterone receptor (P = 0.003). Foods in the traditional southern pattern associated with reduced breast cancer risk were legumes, low mayonnaise-salad dressing intake, and possibly cabbage. CONCLUSIONS: The traditional southern diet or its components are associated with a reduced risk of invasive breast cancer in postmenopausal women.
MED-6	http://www.ncbi.nlm.nih.gov/pubmed/23335051	Consumption of deep-fried foods and risk of prostate cancera,b	Abstract Background Evidence suggests that high-heat cooking methods may increase the risk of prostate cancer (PCa). The addition of oil/fat, as in deep-frying, may be of particular concern, and has not specifically been investigated in relation to PCa. Potential mechanisms include the formation of potentially carcinogenic agents such as aldehydes, acrolein, heterocyclic amines, polycyclic aromatic hydrocarbons, and acrylamide. Methods We estimated odds ratios (OR) and 95% confidence intervals (CI) for the association between tertiles of intake of deep-fried foods from a food frequency questionnaire (French fries, fried chicken, fried fish, doughnuts and snack chips) and PCa risk, adjusted for potential confounders, among 1,549 cases and 1,492 controls. We additionally examined associations with more aggressive PCa (defined as regional/distant stage, elevated Gleason score or prostate specific antigen level). Results Compared with <1/week, there was a positive association with PCa risk for intake ≥ 1/week of French fries (OR=1.37; 95% CI, 1.11–1.69), fried chicken (OR=1.30; 95% CI, 1.04–1.62), fried fish (OR=1.32; 95% CI, 1.05–1.66), and doughnuts (OR=1.35; 95% CI, 1.11–1.66). There was no association for snack chips (OR=1.08; 95% CI, 0.89–1.32). Most of the estimates were slightly stronger for more aggressive disease (OR=1.41; 95% CI, 1.04–1.92 for fried fish). Conclusion Regular consumption of select deep-fried foods is associated with increased PCa risk. Whether this risk is specific to deep-fried foods, or whether it represents risk associated with regular intake of foods exposed to high heat and/or other aspects of the Western lifestyle, such as fast food consumption, remains to be determined.
MED-7	http://www.ncbi.nlm.nih.gov/pubmed/15072585	Heterocyclic amines: Mutagens/carcinogens produced during cooking of meat and fish. - PubMed - NCBI	Abstract Research leading to the discovery of a series of mutagenic and carcinogenic heterocyclic amines (HCAs) was inspired by the idea that smoke produced during cooking of food, especially meat or fish, might be carcinogenic. More than ten kinds of HCAs, actually produced by cooking or heating of meat or fish, have now been isolated and their structures determined, most being previously unregistered compounds. They are highly mutagenic towards Salmonella typhimurium in the presence of S9 mix and are also mutagenic in vitro and in vivo toward mammalian cells. HCAs have now been chemically synthesized in quantity and subjected to long-term animal testing. When HCAs were fed in the diet, rodents developed cancers in many organs, including the colon, breast and prostate, and one HCA produced hepatomas in monkeys. The lesions exhibited alteration in genes including Apc, beta-catenin and Ha-ras, and these changes provide clues to the induction mechanisms. The HCAs are oxidized to hydroxyamino derivatives by cytochrome P450s, and further converted to ester forms by acetyltransferase and sulfotransferase. Eventually, they produce DNA adducts through the formation of N-C bonds at guanine bases. There are HCA-sensitive and resistant strains of rodents and a search for the responsible genes is now under way. While the content of HCAs in dishes consumed in ordinary life is low and not sufficient in itself to explain human cancer, the coexistence of many other mutagens/carcinogens of either autobiotic or xenobiotic type and the possibility that HCAs induce genomic instability and heightened sensitivity to tumor promoters suggest that avoidance of exposure to HCAs or reduction of HCAs' biological effects as far as possible are to be highly recommended. Usage of microwave ovens for cooking and supplementation of the diet, for example with soy-isoflavones, which have been found to suppress the occurrence of HCA-induced breast cancers, should be encouraged. Advice to the general public about how to reduce the carcinogenic load imposed by HCAs would be an important contribution to cancer prevention.
MED-8	http://www.ncbi.nlm.nih.gov/pubmed/22136129	Acrylamide in foods: a review of the science and future considerations. - PubMed - NCBI	Abstract Acrylamide occurs in foods commonly consumed in diets worldwide. It is formed from the reaction of reducing sugars (e.g., glucose or fructose) with the amino acid asparagine via the Maillard reaction, which occurs during heat processing of foods, primarily those derived from plant origin, such as potato and cereal products, above 120°C (248°F). The majority of epidemiological studies concerning potential relationships between acrylamide consumption and different types of cancer have indicated no increased risk, except with a few types that warrant further study. Efforts to reduce the formation of acrylamide in food products have resulted in some successes, but there is no common approach that works for all foods. Reduction in some foods is probably not possible. The results from a major toxicological study (aqueous intake of acrylamide by rats and mice) are in the process of being released. The status of current knowledge in these areas is reviewed.
MED-9	http://www.ncbi.nlm.nih.gov/pubmed/16565487	Elevated Levels of Cholesterol-Rich Lipid Rafts in Cancer Cells Are Correlated with Apoptosis Sensitivity Induced by Cholesterol-Depleting Agents	Abstract Lipid rafts/caveolae are membrane platforms for signaling molecules that regulate various cellular functions, including cell survival. To better understand the role of rafts in tumor progression and therapeutics, we investigated the effect of raft disruption on cell viability and compared raft levels in human cancer cell lines versus their normal counterparts. Here, we report that cholesterol depletion using methyl-β cyclodextrin caused anoikis-like apoptosis, which in A431 cells involved decreased raft levels, Bcl-xL down-regulation, caspase-3 activation, and Akt inactivation regardless of epidermal growth factor receptor activation. Cholesterol repletion replenished rafts on the cell surface and restored Akt activation and cell viability. Moreover, the breast cancer and the prostate cancer cell lines contained more lipid rafts and were more sensitive to cholesterol depletion-induced cell death than their normal counterparts. These results indicate that cancer cells contain increased levels of rafts and suggest a potential use of raft-modulating agents as anti-cancer drugs.
MED-10	http://www.ncbi.nlm.nih.gov/pubmed/25329299	Statin Use and Breast Cancer Survival: A Nationwide Cohort Study from Finland	Abstract Recent studies have suggested that statins, an established drug group in the prevention of cardiovascular mortality, could delay or prevent breast cancer recurrence but the effect on disease-specific mortality remains unclear. We evaluated risk of breast cancer death among statin users in a population-based cohort of breast cancer patients. The study cohort included all newly diagnosed breast cancer patients in Finland during 1995–2003 (31,236 cases), identified from the Finnish Cancer Registry. Information on statin use before and after the diagnosis was obtained from a national prescription database. We used the Cox proportional hazards regression method to estimate mortality among statin users with statin use as time-dependent variable. A total of 4,151 participants had used statins. During the median follow-up of 3.25 years after the diagnosis (range 0.08–9.0 years) 6,011 participants died, of which 3,619 (60.2%) was due to breast cancer. After adjustment for age, tumor characteristics, and treatment selection, both post-diagnostic and pre-diagnostic statin use were associated with lowered risk of breast cancer death (HR 0.46, 95% CI 0.38–0.55 and HR 0.54, 95% CI 0.44–0.67, respectively). The risk decrease by post-diagnostic statin use was likely affected by healthy adherer bias; that is, the greater likelihood of dying cancer patients to discontinue statin use as the association was not clearly dose-dependent and observed already at low-dose/short-term use. The dose- and time-dependence of the survival benefit among pre-diagnostic statin users suggests a possible causal effect that should be evaluated further in a clinical trial testing statins’ effect on survival in breast cancer patients.
